,index,Actor,ActorID,Film,Year,Votes,Rating,FilmID,in_endgame
274,12146,Angela Bassett,nm0000291,Mission: Impossible - Fallout,2018,295907,7.7,tt4912910,1
275,12147,Angela Bassett,nm0000291,Bumblebee,2018,141931,6.8,tt4701182,1
276,12148,Angela Bassett,nm0000291,London Has Fallen,2016,146954,5.9,tt3300542,1
277,12149,Angela Bassett,nm0000291,Survivor,2015,31676,5.6,tt3247714,1
278,12150,Angela Bassett,nm0000291,Chi-Raq,2015,9313,5.7,tt4594834,1
279,12151,Angela Bassett,nm0000291,Curious George 3: Back to the Jungle,2015,503,5.5,tt4622340,1
280,12152,Angela Bassett,nm0000291,White Bird in a Blizzard,2014,27054,6.4,tt2238050,1
281,12153,Angela Bassett,nm0000291,Olympus Has Fallen,2013,259174,6.5,tt2302755,1
282,12154,Angela Bassett,nm0000291,Black Nativity,2013,2061,4.6,tt1425922,1
283,12155,Angela Bassett,nm0000291,This Means War,2012,177039,6.3,tt1596350,1
284,12156,Angela Bassett,nm0000291,Green Lantern,2011,268721,5.5,tt1133985,1
285,12157,Angela Bassett,nm0000291,Jumping the Broom,2011,10274,5.7,tt1640484,1
286,12158,Angela Bassett,nm0000291,Notorious,2009,41301,6.7,tt0472198,1
287,12159,Angela Bassett,nm0000291,Nothing But the Truth,2008,36446,7.2,tt1073241,1
288,12160,Angela Bassett,nm0000291,Meet the Browns,2008,6540,4.4,tt1047494,1
289,12161,Angela Bassett,nm0000291,Gospel Hill,2008,860,5.5,tt0810880,1
